Id,D_curr_crop,havests
1,maize,2
2,maize,1
2,tomatoes,1
2,vegetable,1
3,maize,1
4,maize,2
4,sorghum,1
5,maize,2
6,maize,1
7,maize,1
7,tomatoes,1
7,beans,1
7,vegetable,1
8,maize,2
9,maize,1
9,tomatoes,1
9,vegetable,1
10,maize,1
10,tomatoes,1
11,maize,2
12,maize,0
12,tomatoes,1
13,maize,1
13,beans,1
13,vegetable,1
13,onion,1
14,maize,3
15,maize,1
15,beans,1
15,ngogwe,1
16,maize,1
17,maize,1
17,vegetable,1
17,other,1
18,maize,1
18,pigeonpeas,1
19,maize,1
19,beans,1
20,maize,1
20,beans,1
21,maize,1
21,vegetable,1
21,tomatoes,1
21,cabbage,1
22,maize,1
23,maize,1
23,amendoim,1
24,maize,1
24,tomatoes,1
24,peanut,1
25,maize,1
25,tomatoes,1
25,cabbage,1
26,maize,1
26,beans,1
27,maize,1
27,beans,1
28,maize,1
28,tomatoes,1
28,vegetable,1
29,maize,1
29,tomatoes,1
29,beans,1
30,maize,1
31,maize,1
32,maize,1
32,sorghum,1
32,sunflower,1
32,peanut,1
32,tomatoes,1
32,onion,1
32,cabbage,1
32,vegetable,1
33,maize,1
33,tomatoes,1
34,tomatoes,1
34,maize,1
35,tomatoes,1
35,maize,1
36,maize,1
36,tomatoes,1
36,vegetable,1
37,maize,1
38,maize,1
38,tomatoes,1
39,maize,1
40,maize,1
40,tomatoes,1
41,maize,1
42,maize,1
42,other,1
43,maize,1
43,amendoim,1
43,,0
43,vegetable,1
43,tomatoes,1
43,peanut,1
44,maize,1
45,maize,1
45,tomatoes,1
45,beans,1
46,maize,1
46,tomatoes,1
46,vegetable,1
46,onion,1
46,beans,1
47,maize,1
47,tomatoes,1
48,maize,1
48,sorghum,1
49,maize,1
49,sorghum,1
50,maize,1
50,tomatoes,1
50,piri_piri,1
51,maize,1
52,maize,1
53,maize,2
53,beans,1
53,tomatoes,1
53,cabbage,1
53,vegetable,1
54,maize,1
54,tomatoes,1
55,maize,1
56,maize,1
56,tomatoes,1
57,maize,1
57,other,1
58,beans,1
58,other,1
58,maize,1
59,maize,2
59,other,1
60,maize,1
60,tomatoes,1
60,peanut,1
61,tomatoes,1
61,onion,1
61,cabbage,1
61,vegetable,1
61,piri_piri,1
61,maize,1
62,maize,1
62,sorghum,1
63,maize,1
63,sesame,1
64,maize,1
64,sesame,1
65,maize,1
65,tomatoes,1
66,beans,1
66,tomatoes,1
66,onion,1
66,vegetable,1
67,maize,1
67,tomatoes,1
67,vegetable,1
68,maize,2
68,piri_piri,1
69,maize,1
69,tomatoes,1
70,maize,3
70,,1
71,maize,1
71,tomatoes,1
72,maize,1
73,maize,1
73,vegetable,1
73,peanut,1
74,maize,1
74,sorghum,1
74,beans,1
74,tomatoes,1
74,vegetable,1
75,maize,1
76,maize,1
76,other,1
77,maize,2
77,beans,1
77,vegetable,1
78,tomatoes,1
78,onion,1
78,vegetable,1
78,maize,1
79,maize,1
79,sorghum,1
79,tomatoes,1
80,maize,1
80,tomatoes,1
80,vegetable,1
81,maize,1
81,beans,1
81,bananas,1
81,tomatoes,1
81,vegetable,1
82,maize,1
82,beans,1
82,tomatoes,1
82,vegetable,1
83,beans,1
83,tomatoes,1
83,vegetable,1
83,maize,1
84,maize,1
84,tomatoes,1
84,beans,1
85,maize,1
85,tomatoes,1
85,vegetable,1
86,maize,1
86,beans,1
86,tomatoes,1
86,vegetable,1
87,maize,1
87,other,1
88,maize,2
89,maize,1
89,tomatoes,1
90,maize,2
90,tomatoes,1
91,tomatoes,1
91,maize,1
91,beans,1
92,maize,1
92,sorghum,1
92,peanut,1
92,cabbage,1
92,tomatoes,1
92,vegetable,1
93,maize,2
93,other,1
94,maize,1
94,beans,1
94,,1
94,tomatoes,1
95,maize,2
95,beans,1
95,vegetable,1
95,other,1
96,maize,1
96,beans,1
96,tomatoes,1
97,maize,1
97,sorghum,1
97,beans,1
97,bananas,1
97,vegetable,1
97,other,1
98,maize,1
98,tomatoes,1
98,onion,1
99,maize,2
99,beans,1
99,tomatoes,1
99,onion,1
100,maize,1
100,sorghum,1
100,tomatoes,1
100,onion,1
100,vegetable,1
101,maize,1
101,sorghum,1
101,beans,2
101,tomatoes,3
101,vegetable,1
101,baby_corn,2
102,maize,1
102,tomatoes,1
102,vegetable,1
103,baby_corn,1
103,piri_piri,1
103,maize,1
103,cabbage,1
103,tomatoes,1
104,maize,1
104,pigeonpeas,1
104,sorghum,1
105,maize,3
106,maize,1
106,beans,1
106,onion,1
106,other,1
107,maize,1
108,maize,1
108,beans,1
108,tomatoes,1
108,onion,1
108,vegetable,1
108,cucumber,1
109,maize,2
109,potatoes,1
110,maize,2
111,maize,2
111,sorghum,1
111,vegetable,1
112,maize,1
113,maize,1
114,maize,1
114,tomatoes,1
115,maize,2
115,beans,1
115,tomatoes,1
115,piri_piri,1
116,maize,1
116,other,1
117,maize,1
117,sorghum,1
118,maize,1
118,beans,1
118,tomatoes,1
119,maize,1
119,beans,1
120,tomatoes,1
120,maize,2
121,maize,1
121,tomatoes,1
122,maize,1
122,tomatoes,2
123,maize,1
123,tomatoes,1
123,vegetable,1
124,maize,1
124,piri_piri,1
124,baby_corn,1
125,tomatoes,1
125,maize,1
126,tomatoes,1
126,maize,1
126,baby_corn,1
127,maize,1
127,beans,1
127,peanut,1
127,tomatoes,1
128,maize,2
128,tomatoes,1
128,cabbage,1
129,maize,1
129,tomatoes,1
130,maize,1
130,vegetable,1
131,maize,2
132,peanut,1
132,manioc,1
132,beans,1
133,maize,1
133,pigeonpeas,1
133,manioc,1
133,,0
134,maize,1
134,rice,1
134,sorghum,1
134,tomatoes,1
134,onion,1
134,green_pepper,1
135,maize,2
135,sorghum,1
135,vegetable,1
136,rice,1
136,maize,1
136,sorghum,1
137,maize,1
137,sorghum,1
137,rice,1
138,maize,1
138,sorghum,1
138,tomatoes,1
139,maize,1
139,beans,1
139,sweetpotato,1
139,ngogwe,1
139,vegetable,1
140,maize,1
140,sorghum,1
140,tomatoes,1
140,vegetable,1
140,piri_piri,1
141,rice,1
141,maize,1
141,onion,1
141,vegetable,1
142,rice,1
142,maize,1
142,onion,1
142,vegetable,1
142,beans,1
142,sesame,1
143,maize,1
143,rice,1
144,maize,1
144,sorghum,1
144,tomatoes,1
145,maize,2
145,sorghum,1
146,maize,1
146,sesame,1
146,piri_piri,1
146,rice,1
146,sorghum,1
147,maize,1
147,rice,1
147,sorghum,1
148,maize,1
148,sorghum,1
148,rice,1
149,maize,2
149,sorghum,2
150,maize,1
150,tomatoes,1
150,vegetable,1
151,maize,1
151,sorghum,1
151,rice,1
152,maize,1
152,rice,1
152,tomatoes,1
152,onion,1
152,vegetable,1
152,sorghum,1
153,maize,1
153,sorghum,1
153,rice,1
154,maize,1
154,sorghum,2
155,maize,2
156,maize,1
156,rice,1
156,tomatoes,1
157,sesame,1
157,maize,1
157,sorghum,1
157,tomatoes,1
157,vegetable,1
158,maize,1
158,rice,1
159,maize,1
159,sorghum,1
159,cassava,1
160,sorghum,1
160,rice,1
161,rice,1
161,sorghum,1
162,maize,1
162,sorghum,1
162,rice,1
163,sorghum,1
163,rice,1
164,maize,1
164,sorghum,1
164,rice,1
165,maize,1
165,beans,1
165,sorghum,1
165,cassava,1
165,rice,1
166,maize,1
166,sorghum,1
166,rice,1
167,maize,1
167,sorghum,1
167,rice,1
168,maize,1
168,beans,1
168,sorghum,1
168,cassava,1
168,peanut,1
168,rice,1
169,maize,1
169,sorghum,1
169,rice,1
170,maize,1
170,sorghum,1
170,rice,1
171,maize,2
171,sorghum,1
171,tomatoes,1
172,maize,2
172,sorghum,2
172,onion,1
172,vegetable,1
172,tomatoes,1
172,sesame,1
173,maize,1
173,rice,1
173,vegetable,1
174,maize,2
174,sorghum,1
174,rice,1
175,rice,2
175,maize,1
175,sorghum,1
176,rice,2
176,maize,1
176,sorghum,1
177,rice,1
177,maize,1
177,sesame,1
178,maize,2
178,rice,1
179,maize,1
179,sorghum,1
179,rice,1
180,maize,1
180,rice,1
181,maize,2
181,rice,1
182,maize,1
182,rice,1
183,rice,1
183,maize,1
184,pigeonpeas,1
184,maize,1
184,sesame,1
184,other,1
185,maize,1
185,sorghum,1
185,rice,1
186,maize,1
186,sorghum,1
186,rice,1
187,maize,1
187,sorghum,1
187,rice,1
188,maize,1
188,sorghum,1
189,sorghum,1
189,maize,1
189,rice,1
189,tomatoes,1
190,maize,1
190,sorghum,1
190,rice,1
191,maize,1
191,sorghum,1
191,rice,1
192,maize,2
192,sorghum,1
192,other,1
193,maize,2
193,sorghum,2
193,pigeonpeas,1
194,maize,1
194,other,1
195,sorghum,1
195,rice,1
195,maize,1
196,sorghum,1
196,maize,1
196,rice,1
197,maize,1
197,sorghum,1
197,rice,1
197,millet,1
198,maize,1
198,sorghum,1
198,rice,1
199,maize,3
199,sorghum,1
199,millet,1
199,other,1
200,maize,1
200,sorghum,1
200,rice,1
201,other,1
201,maize,1
201,sorghum,1
201,sesame,1
202,maize,1
202,sorghum,1
202,rice,1
203,rice,1
203,maize,1
203,sorghum,1
204,maize,1
204,rice,1
205,maize,1
205,sorghum,1
205,sweetpotato,1
205,rice,1
206,maize,1
206,sorghum,1
206,rice,1
207,maize,1
207,rice,1
208,maize,1
208,sorghum,1
209,rice,1
209,maize,1
210,maize,1
210,sorghum,1
210,tomatoes,1
211,maize,1
211,rice,1
212,maize,1
212,sorghum,1
212,other,1
213,rice,1
213,maize,1
214,maize,1
214,sorghum,1
214,rice,1
215,sesame,1
215,maize,1
216,maize,1
216,sorghum,1
216,rice,1
217,sorghum,1
217,maize,1
218,maize,1
218,rice,1
219,maize,1
219,sesame,1
219,rice,1
220,maize,1
220,sorghum,1
220,rice,1
221,maize,1
221,rice,1
222,other,1
222,maize,1
222,sorghum,1
222,rice,1
223,maize,2
223,sorghum,1
224,maize,2
224,other,1
225,maize,1
225,sorghum,1
226,sorghum,1
226,maize,1
227,maize,1
227,sorghum,1
227,rice,1
228,maize,1
228,sorghum,1
228,tomatoes,1
228,sesame,1
228,rice,1
229,maize,1
229,rice,1
230,maize,1
230,sorghum,1
230,tomatoes,1
231,maize,1
231,sorghum,1
231,millet,1
231,tomatoes,1
232,tomatoes,1
232,vegetable,1
232,maize,1
233,maize,1
233,sorghum,1
233,sesame,1
234,maize,1
234,sorghum,1
234,sesame,1
234,rice,1
235,maize,1
235,sorghum,1
236,maize,1
236,other,1
237,maize,1
237,sorghum,1
237,sesame,1
238,sorghum,1
238,maize,1
238,rice,1
239,maize,1
239,sorghum,1
239,rice,1
240,maize,1
240,sorghum,1
240,rice,1
240,other,1
241,maize,1
241,rice,1
241,sweetpotato,1
242,maize,1
242,sorghum,1
242,rice,1
243,maize,2
243,sorghum,1
243,rice,1
244,maize,1
244,rice,1
244,cassava,1
245,maize,1
245,rice,1
246,maize,1
246,rice,1
247,maize,2
247,sorghum,1
247,rice,1
248,maize,2
248,rice,1
249,rice,1
249,maize,1
250,rice,2
250,maize,1
251,rice,1
252,maize,1
252,beans,1
252,sorghum,1
252,rice,1
253,maize,1
253,rice,2
254,maize,1
254,,1
254,rice,1
255,millet,1
255,sorghum,1
255,maize,1
255,tomatoes,1
256,maize,1
256,sorghum,1
256,vegetable,1
257,maize,1
257,sorghum,1
257,rice,1
258,millet,1
258,sorghum,1
258,rice,1
259,maize,1
259,sorghum,1
259,tomatoes,1
260,maize,1
260,sorghum,1
260,rice,1
261,maize,1
261,sorghum,1
262,maize,1
262,vegetable,1
262,sesame,1
263,maize,1
263,sorghum,1
263,rice,3
264,maize,1
264,rice,1
265,maize,1
265,rice,1
266,rice,1
266,maize,1
267,rice,1
267,maize,1
268,maize,1
268,rice,1
269,maize,1
269,rice,1
269,sweetpotato,1
270,maize,1
270,rice,1
271,rice,1
271,maize,1
272,maize,1
272,rice,1
272,vegetable,1
273,sorghum,1
273,maize,1
273,rice,1
274,rice,1
274,maize,1
275,maize,1
275,rice,1
276,rice,1
277,rice,1
277,sweetpotato,1
278,maize,1
278,rice,1
279,maize,1
279,rice,1
279,tomatoes,1
280,rice,1
281,maize,1
281,rice,1
282,maize,1
282,sorghum,1
282,sesame,1
282,rice,1
283,rice,1
283,maize,1
283,sesame,1
283,pigeonpeas,1
284,tomatoes,1
284,onion,1
284,rice,1
284,green_pepper,1
285,maize,1
285,sorghum,1
285,rice,1
286,maize,1
286,rice,1
287,rice,1
287,maize,1
288,maize,1
288,sesame,1
288,rice,1
288,tomatoes,1
289,maize,1
289,rice,1
290,maize,1
290,sorghum,1
290,tomatoes,1
290,sesame,1
291,vegetable,1
291,rice,1
292,maize,1
292,rice,1
293,maize,1
293,rice,1
294,rice,1
294,sorghum,1
294,maize,1
295,maize,1
295,rice,1
295,onion,1
296,maize,1
296,sorghum,1
296,rice,1
297,maize,1
297,sorghum,1
298,rice,1
298,maize,1
299,maize,1
299,rice,1
300,maize,1
300,rice,1
301,maize,1
301,sweetpotato,1
302,rice,1
302,maize,1
302,sesame,1
303,rice,1
303,maize,1
304,rice,1
304,tomatoes,1
304,vegetable,1
304,maize,1
305,maize,1
305,rice,1
306,rice,1
306,maize,1
307,maize,2
307,rice,2
308,rice,1
308,maize,1
309,maize,1
309,rice,1
310,rice,1
310,maize,2
311,maize,1
311,rice,1
312,maize,1
312,rice,1
313,maize,1
313,rice,1
313,sorghum,1
314,maize,1
314,rice,1
315,maize,1
315,rice,2
316,maize,1
316,rice,1
317,maize,2
317,rice,2
318,rice,1
318,maize,1
318,sorghum,1
318,onion,1
318,tomatoes,1
318,vegetable,1
319,rice,1
319,maize,1
320,rice,1
321,maize,1
321,sorghum,1
321,tomatoes,1
322,maize,1
322,rice,1
322,sesame,1
323,sesame,1
323,maize,2
323,cabbage,1
323,green_beans,1
324,maize,2
324,cabbage,1
324,baby_corn,1
325,maize,1
325,baby_corn,1
325,piri_piri,6
326,maize,1
326,beans,1
326,piri_piri,3
326,baby_corn,1
326,sweetpotato,1
326,cabbage,1
327,maize,1
327,baby_corn,1
328,maize,1
328,beans,1
328,potatoes,1
328,cabbage,1
329,maize,2
329,baby_corn,2
330,maize,1
330,bananas,1
330,cabbage,1
330,baby_corn,3
330,piri_piri,2
330,other,1
331,maize,3
331,bananas,1
331,other,1
331,baby_corn,1
331,green_beans,2
331,tomatoes,1
332,maize,1
332,sorghum,1
332,sesame,1
332,rice,1
333,maize,1
333,rice,1
333,beans,1
333,onion,1
333,vegetable,1
334,maize,1
334,rice,1
335,maize,1
335,tomatoes,1
335,onion,1
335,green_pepper,1
335,cabbage,1
336,rice,1
336,maize,1
336,sorghum,1
336,millet,1
337,maize,1
337,tomatoes,1
337,rice,1
338,rice,1
338,maize,1
339,maize,1
339,rice,1
339,tomatoes,1
339,vegetable,1
340,maize,1
340,rice,1
341,maize,2
341,rice,1
342,maize,1
342,rice,1
343,maize,1
343,rice,1
344,maize,1
344,rice,1
345,maize,2
345,sorghum,1
345,rice,1
346,maize,1
346,sorghum,1
347,maize,1
347,sorghum,1
347,rice,1
348,maize,1
348,sorghum,1
348,rice,1
348,millet,1
349,maize,1
349,sorghum,1
349,rice,1
350,maize,1
350,sorghum,1
350,rice,1
